frame_begin,frame_end,reaction_time,block_id
20701,20892,342.75,1
20892,21173,331.16,1
21173,21277,457.59,1
21277,21619,377.01,1
21619,21847,554.76,1
21847,22129,374.56,1
22129,22261,384.0,1
22261,22513,354.09,1
22513,22795,365.83,1
22795,23082,536.9,1
23082,23186,431.4,1
23186,23320,445.53,1
23320,23601,317.29,1
23601,23912,337.68,1
23912,24135,405.42,1
24135,24240,444.55,1
24240,24342,370.35,1
24342,24625,392.43,1
24625,24788,400.87,1
24788,24921,416.99,1
24921,25112,341.11,1
25112,25423,333.17,1
25423,25528,451.61,1
25528,25719,358.39,1
25719,25913,437.15,1
25913,26105,368.59,1
26105,26268,386.36,1
26268,26554,519.1,1
26555,26868,424.56,1
26868,27149,320.98,1
27149,27341,369.07,1
27341,27443,370.16,1
27443,27758,461.57,1
27758,28041,376.02,1
28041,28235,424.79,1
28235,28399,407.24,1
28399,28682,408.34,1
28682,28786,443.13,1
28786,29012,491.25,1
29012,29147,466.38,1
29147,29311,403.53,1
29311,29653,369.93,1
29653,29905,368.68,1
29905,30246,364.4,1
30246,30468,346.83,1
30468,30572,415.94,1
30572,30825,395.7,1
30825,31051,516.8,1
31051,31332,325.92,1
31332,31553,337.66,1
31553,31655,379.11,1
31656,31966,337.84,1
31966,32069,392.27,1
32069,32290,350.03,1
32290,32452,360.46,1
32452,32584,357.9,1
32584,32716,380.0,1
32716,32972,502.09,1
32972,33317,452.52,1
33317,33508,367.31,1
33509,33819,338.71,1
33819,34133,443.44,1
34133,34414,330.87,1
34414,34700,479.26,1
34700,34951,337.37,1
34951,35060,595.81,1
35060,35372,389.95,1
35372,35655,396.36,1
35655,35909,449.79,1
35909,36015,470.93,1
36015,36180,468.73,1
36180,36283,405.88,1
36283,36384,341.68,1
36384,36635,337.74,1
36635,36799,431.17,1
36799,37020,337.94,1
37020,37214,457.36,1
37214,37377,371.82,1
37377,37483,500.26,1
37483,37617,444.41,1
37617,37809,359.2,1
37809,37914,452.32,1
37914,38227,392.41,1
38227,38480,409.83,1
38480,38731,350.59,1
93146,93397,333.32,2
93397,93561,431.75,2
93561,93694,390.54,2
93694,93800,518.33,2
93800,94115,447.78,2
94115,94397,370.55,2
94397,94590,404.64,2
94590,94726,500.75,2
94726,94980,449.55,2
94981,95326,497.97,2
95326,95489,386.45,2
95489,95623,443.23,2
95623,95939,523.98,2
95939,96046,519.15,2
96046,96297,343.94,2
96297,96492,446.03,2
96492,96655,399.49,2
96655,96997,385.9,2
96997,97133,490.68,2
97133,97387,427.14,2
97387,97492,432.93,2
97492,97626,443.73,2
97626,97884,587.17,2
97884,98081,532.67,2
98081,98281,632.15,2
98281,98384,378.69,2
98384,98545,355.78,2
98545,98798,399.2,2
98798,98915,846.98,2
98915,99077,377.57,2
99077,99389,368.31,2
99389,99586,532.74,2
99586,99694,559.25,2
99694,99857,401.08,2
