frame_begin,frame_end,reaction_time,block_id
13718,14003,482.4,1
14003,14342,281.52,1
14343,14474,329.62,1
14474,14724,289.03,1
14724,14884,325.12,1
14884,15224,290.85,1
15224,15503,264.59,1
15503,15814,314.31,1
15814,16154,324.06,1
16154,16288,423.48,1
16288,16539,336.26,1
16539,16674,475.03,1
16674,16862,269.17,1
16863,17083,315.57,1
17083,17362,280.65,1
17362,17495,384.73,1
17495,17655,281.85,1
17655,17995,303.92,1
17995,18274,277.64,1
18274,18436,378.73,1
18436,18541,455.18,1
18541,18702,349.65,1
18702,18892,280.42,1
18892,19111,278.16,1
19111,19213,366.59,1
19213,19314,323.71,1
19314,19624,321.11,1
19624,19728,440.21,1
19728,19860,387.01,1
19860,20050,304.46,1
20050,20330,277.2,1
20330,20491,334.27,1
20491,20681,320.71,1
20681,20814,380.13,1
20814,20947,416.93,1
20947,21286,270.69,1
21286,21536,305.41,1
21536,21757,342.5,1
21757,22036,278.92,1
22036,22138,355.34,1
22138,22418,319.09,1
22418,22519,308.53,1
22519,22678,284.94,1
22678,22867,286.36,1
22868,22970,378.79,1
22970,23190,308.56,1
23190,23528,250.95,1
23528,23718,305.68,1
23718,23999,319.42,1
23999,24280,319.84,1
24280,24501,352.25,1
24501,24757,495.68,1
24757,25036,276.48,1
25036,25377,311.53,1
25377,25629,376.28,1
25629,25734,461.4,1
25734,26073,289.19,1
26073,26414,343.23,1
26414,26545,329.35,1
26545,26735,308.78,1
26735,26898,381.2,1
26898,27148,314.29,1
27148,27397,263.04,1
27397,27736,290.76,1
27736,27956,276.5,1
27956,28182,514.25,1
28182,28464,359.39,1
28464,28627,421.82,1
28627,28849,362.26,1
28849,29042,363.72,1
29042,29145,416.84,1
29145,29278,423.29,1
29278,29414,507.76,1
29414,29607,362.91,1
29607,29889,345.35,1
29889,30022,395.44,1
30022,30304,361.23,1
30304,30585,352.32,1
30585,30777,379.08,1
30777,31002,468.86,1
31002,31194,367.0,1
31194,31476,350.09,1
31476,31756,324.84,1
83205,83456,340.53,2
83456,83557,334.97,2
83557,83776,274.74,2
83776,83937,315.14,2
83937,84157,303.57,2
84157,84408,340.98,2
84408,84688,297.38,2
84688,85029,335.78,2
85029,85161,370.56,2
85161,85262,351.67,2
85262,85453,329.43,2
85453,85644,332.87,2
85644,85864,323.62,2
85864,86145,320.7,2
