frame_begin,frame_end,reaction_time,block_id
12709,13055,519.42,1
13055,13394,265.23,1
13394,13702,260.63,1
13702,13924,343.71,1
13924,14025,357.5,1
14025,14124,275.29,1
14124,14315,348.37,1
14316,14624,256.46,1
14624,14874,303.88,1
14874,15213,282.28,1
15213,15372,275.39,1
15372,15652,288.79,1
15652,15813,329.89,1
15813,15916,404.34,1
15916,16106,305.13,1
16106,16265,276.56,1
16265,16604,255.64,1
16604,16885,318.71,1
16885,17019,409.48,1
17019,17239,309.95,1
17239,17340,349.06,1
17341,17680,305.49,1
17680,17931,294.25,1
17931,18243,368.34,1
18243,18434,345.46,1
18434,18541,494.57,1
18541,18641,306.4,1
18641,18771,313.85,1
18771,19053,354.95,1
19053,19155,376.73,1
19155,19255,277.19,1
19255,19537,363.6,1
19537,19638,328.72,1
19638,19769,343.51,1
19769,19869,277.29,1
19869,20179,311.38,1
20180,20489,279.79,1
20489,20770,342.21,1
20770,21025,462.32,1
21025,21337,369.79,1
21337,21617,332.89,1
21618,21750,379.67,1
21750,22095,489.78,1
22095,22376,331.26,1
22376,22687,316.02,1
22687,22998,345.45,1
22998,23159,315.9,1
23159,23349,319.34,1
23349,23690,341.09,1
23690,23880,288.53,1
23880,24221,350.61,1
24221,24413,340.72,1
24413,24517,422.51,1
24517,24859,362.97,1
24859,24991,340.43,1
24991,25123,361.87,1
25123,25316,379.34,1
25316,25536,305.11,1
25536,25789,398.54,1
25789,26130,333.0,1
26130,26441,324.09,1
26441,26573,379.53,1
26573,26917,422.64,1
26917,27051,430.11,1
27051,27302,346.24,1
27302,27465,384.69,1
27465,27566,353.16,1
27566,27877,333.25,1
27877,28158,335.68,1
28158,28498,296.78,1
28498,28809,330.86,1
28809,29149,311.3,1
29149,29492,393.04,1
29492,29624,381.83,1
29624,29815,339.29,1
29815,30066,334.4,1
30066,30377,330.5,1
30377,30628,326.59,1
71678,72018,299.01,2
72018,72358,292.76,2
72358,72609,342.18,2
72610,72890,305.29,2
72890,73082,381.06,2
73082,73365,387.5,2
73365,73616,336.96,2
73616,73899,401.38,2
73899,74065,497.85,2
74065,74200,478.01,2
74200,74336,506.84,2
74336,74677,333.32,2
74677,74929,353.41,2
74929,75153,414.87,2
75153,75345,399.0,2
75345,75626,324.79,2
75626,75846,320.22,2
75846,76188,341.97,2
76188,76498,318.08,2
76498,76695,530.18,2
76695,76861,513.35,2
76861,77021,293.18,2
77021,77211,280.94,2
77211,77521,323.68,2
77521,77653,367.12,2
77653,77994,342.9,2
77994,78096,365.34,2
78096,78196,290.47,2
78196,78446,295.9,2
78446,78696,301.31,2
78696,78856,305.74,2
78856,79016,297.18,2
79016,79176,300.94,2
79176,79426,306.36,2
79426,79586,294.79,2
79586,79718,378.9,2
79719,79968,293.01,2
79968,80310,351.43,2
80310,80438,1257.21,2
80438,80750,361.6,2
80750,80974,419.06,2
80974,81195,343.53,2
81195,81519,791.63,2
81519,81710,341.22,2
81710,81990,280.64,2
81990,82092,373.08,2
82092,82254,386.86,2
82254,82477,392.64,2
82477,82594,856.45,2
82594,82784,299.39,2
82784,82888,437.5,2
82888,83169,341.97,2
83169,83389,297.07,2
83389,83699,274.5,2
83699,83951,364.57,2
83951,84239,571.03,2
84240,84582,402.86,2
84582,84685,386.66,2
84685,85041,832.78,2
85041,85145,439.38,2
85145,85487,368.51,2
85487,85797,319.28,2
85798,86018,327.72,2
86018,86185,518.83,2
86185,86377,362.98,2
86377,86687,298.44,2
86687,86849,377.86,2
86849,87010,314.98,2
87010,87172,386.76,2
87172,87498,837.54,2
